year,state,unit,unit_evs,had_popular_vote,candidate,party,on_ballot,raw_votes,evs_awarded,total_evs,evs_to_win,source_url
1828,MD,MD-5,1,True,John Quincy Adams,National Republican,True,1602,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-6,1,True,Andrew Jackson,Democratic,True,2213,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-6,1,True,John Quincy Adams,National Republican,True,2242,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-7,1,True,Andrew Jackson,Democratic,True,1122,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-7,1,True,John Quincy Adams,National Republican,True,1208,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-8,1,True,Andrew Jackson,Democratic,True,1050,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-8,1,True,John Quincy Adams,National Republican,True,1551,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-9,1,True,Andrew Jackson,Democratic,True,2574,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MD,MD-9,1,True,John Quincy Adams,National Republican,True,3256,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME,2,True,Andrew Jackson,Democratic,True,13808,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME,2,True,John Quincy Adams,National Republican,True,20558,2,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-Cumberland,1,True,Andrew Jackson,Democratic,True,4227,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-Cumberland,1,True,John Quincy Adams,National Republican,True,4043,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-Hancock&Washington,1,True,Andrew Jackson,Democratic,True,1235,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-Hancock&Washington,1,True,John Quincy Adams,National Republican,True,2268,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-Kennebec,1,True,Andrew Jackson,Democratic,True,1057,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-Kennebec,1,True,John Quincy Adams,National Republican,True,3075,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-Lincoln,1,True,Andrew Jackson,Democratic,True,820,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-Lincoln,1,True,John Quincy Adams,National Republican,True,1933,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-Oxford,1,True,Andrew Jackson,Democratic,True,2812,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-Oxford,1,True,John Quincy Adams,National Republican,True,3248,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-Somerset&Ponobscot,1,True,Andrew Jackson,Democratic,True,1792,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-Somerset&Ponobscot,1,True,John Quincy Adams,National Republican,True,3052,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-York,1,True,Andrew Jackson,Democratic,True,1865,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,ME,ME-York,1,True,John Quincy Adams,National Republican,True,3047,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MO,MO,3,True,Andrew Jackson,Democratic,True,8287,3,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MO,MO,3,True,John Quincy Adams,National Republican,True,3672,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MS,MS,3,True,Andrew Jackson,Democratic,True,7086,3,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,MS,MS,3,True,John Quincy Adams,National Republican,True,1602,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NC,NC,15,True,Andrew Jackson,Democratic,True,37634,15,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NC,NC,15,True,John Quincy Adams,National Republican,True,13938,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NH,NH,8,True,Andrew Jackson,Democratic,True,21182,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NH,NH,8,True,John Quincy Adams,National Republican,True,24120,8,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NJ,NJ,8,True,Andrew Jackson,Democratic,True,21951,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NJ,NJ,8,True,John Quincy Adams,National Republican,True,23764,8,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY,2,True,Andrew Jackson,Democratic,True,139412,2,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY,2,True,John Quincy Adams,National Republican,True,131563,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-1,1,True,Andrew Jackson,Democratic,True,3075,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-1,1,True,John Quincy Adams,National Republican,True,2847,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-10,1,True,Andrew Jackson,Democratic,True,3924,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-10,1,True,John Quincy Adams,National Republican,True,4195,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-11,1,True,Andrew Jackson,Democratic,True,5331,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
